-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          ProfilerStep*         0.00%       0.000us         0.00%       0.000us       0.000us      255.797s       103.87%      255.797s       25.580s            10  
                                          ProfilerStep*         3.69%        9.452s       100.00%      255.822s       25.582s       0.000us         0.00%      247.088s       24.709s            10  
                     aten::scaled_dot_product_attention         0.01%      14.243ms         0.08%     203.658ms      96.429us       0.000us         0.00%      123.072s      58.273ms          2112  
              aten::_scaled_dot_product_flash_attention         0.01%      14.364ms         0.07%     189.414ms      89.685us       0.000us         0.00%      123.072s      58.273ms          2112  
                         aten::_flash_attention_forward         0.01%      30.223ms         0.06%     162.928ms      77.144us      122.699s        49.82%      123.072s      58.273ms          2112  
void pytorch_flash::flash_fwd_kernel<pytorch_flash::...         0.00%       0.000us         0.00%       0.000us       0.000us      119.975s        48.72%      119.975s     374.921ms           320  
                                           aten::matmul         0.02%      47.099ms         0.95%        2.419s     160.461us       0.000us         0.00%       77.158s       5.118ms         15076  
                                           aten::linear         0.01%      21.579ms         0.96%        2.466s     166.081us       0.000us         0.00%       76.881s       5.177ms         14850  
                                               aten::mm         0.07%     175.833ms         0.91%        2.332s     157.037us       76.484s        31.06%       76.881s       5.177ms         14850  
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s1681...         0.00%       0.000us         0.00%       0.000us       0.000us       75.207s        30.54%       75.207s      33.575ms          2240  
                                            aten::copy_         0.03%      86.759ms         0.12%     304.407ms      13.272us       13.658s         5.55%       13.659s     595.539us         22936  
                               fake_svd/dispatch/svd_v5         0.00%       4.363ms        88.61%      226.673s        1.417s       0.000us         0.00%       11.215s      70.096ms           160  
                                            svd_v5/call         0.00%       5.120ms        88.60%      226.668s        1.417s       0.000us         0.00%       11.215s      70.096ms           160  
                                           svd_v5/total         0.00%      12.438ms        88.60%      226.663s        1.417s       0.000us         0.00%       11.215s      70.096ms           160  
                                              aten::mul         0.07%     187.143ms         0.46%        1.175s      34.805us        9.680s         3.93%        9.681s     286.664us         33772  
                                            aten::clone         0.00%      12.706ms         0.09%     218.971ms      41.191us       0.000us         0.00%        8.406s       1.581ms          5316  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us        7.904s         3.21%        7.904s       1.625ms          4864  
                                          aten::reshape         0.01%      26.569ms         0.04%     107.447ms       4.902us       0.000us         0.00%        7.334s     334.602us         21920  
                           svd_v5/power_iteration/total         0.00%      11.134ms         2.75%        7.047s      44.043ms       0.000us         0.00%        6.937s      43.354ms           160  
