-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          ProfilerStep*         0.00%       0.000us         0.00%       0.000us       0.000us      255.332s       104.11%      255.332s       25.533s            10  
                                          ProfilerStep*         3.96%       10.118s       100.00%      255.453s       25.545s       0.000us         0.00%      245.643s       24.564s            10  
                     aten::scaled_dot_product_attention         0.01%      15.117ms         0.08%     211.731ms      95.893us       0.000us         0.00%      121.603s      55.074ms          2208  
              aten::_scaled_dot_product_flash_attention         0.01%      14.177ms         0.08%     196.614ms      89.046us       0.000us         0.00%      121.603s      55.074ms          2208  
                         aten::_flash_attention_forward         0.01%      33.214ms         0.07%     169.469ms      76.752us      121.603s        49.59%      121.603s      55.074ms          2208  
void pytorch_flash::flash_fwd_kernel<pytorch_flash::...         0.00%       0.000us         0.00%       0.000us       0.000us      118.745s        48.42%      118.745s     371.078ms           320  
                                           aten::matmul         0.02%      50.472ms         0.99%        2.525s     160.307us       0.000us         0.00%       76.825s       4.877ms         15754  
                                           aten::linear         0.01%      23.037ms         1.01%        2.581s     166.249us       0.000us         0.00%       76.536s       4.930ms         15525  
                                               aten::mm         0.07%     181.543ms         0.95%        2.434s     156.762us       76.186s        31.07%       76.536s       4.930ms         15525  
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s1681...         0.00%       0.000us         0.00%       0.000us       0.000us       74.840s        30.52%       74.840s      33.411ms          2240  
                                            aten::copy_         0.03%      86.273ms         0.13%     325.824ms      13.828us       14.295s         5.83%       14.297s     606.747us         23563  
                               fake_svd/dispatch/svd_v5         0.00%       4.456ms        87.65%      223.900s        1.399s       0.000us         0.00%       11.318s      70.736ms           160  
                                            svd_v5/call         0.00%       5.056ms        87.65%      223.895s        1.399s       0.000us         0.00%       11.318s      70.736ms           160  
                                           svd_v5/total         0.00%      12.275ms        87.64%      223.890s        1.399s       0.000us         0.00%       11.318s      70.736ms           160  
                                              aten::mul         0.08%     191.724ms         0.99%        2.527s      72.065us        9.634s         3.93%        9.638s     274.871us         35062  
                                            aten::clone         0.01%      12.880ms         0.08%     214.436ms      38.889us       0.000us         0.00%        8.688s       1.576ms          5514  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us        8.186s         3.34%        8.186s       1.619ms          5056  
                                          aten::reshape         0.01%      28.336ms         0.04%     114.826ms       5.015us       0.000us         0.00%        7.606s     332.231us         22895  
                           svd_v5/power_iteration/total         0.00%      10.237ms         2.86%        7.304s      45.647ms       0.000us         0.00%        7.188s      44.922ms           160  
