-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          ProfilerStep*         0.00%       0.000us         0.00%       0.000us       0.000us      284.307s       103.78%      284.307s       28.431s            10  
                                          ProfilerStep*         3.87%       11.014s       100.00%      284.326s       28.433s       0.000us         0.00%      275.163s       27.516s            10  
                     aten::scaled_dot_product_attention         0.01%      38.089ms         0.15%     439.851ms      70.129us       0.000us         0.00%      129.548s      20.655ms          6272  
              aten::_scaled_dot_product_flash_attention         0.01%      37.622ms         0.14%     401.762ms      64.056us       0.000us         0.00%      129.548s      20.655ms          6272  
                         aten::_flash_attention_forward         0.03%      93.170ms         0.12%     328.211ms      52.330us      129.544s        47.29%      129.548s      20.655ms          6272  
void pytorch_flash::flash_fwd_kernel<pytorch_flash::...         0.00%       0.000us         0.00%       0.000us       0.000us      120.478s        43.98%      120.478s     376.494ms           320  
                                           aten::matmul         0.05%     132.734ms         2.71%        7.707s     173.373us       0.000us         0.00%       80.969s       1.821ms         44456  
                                           aten::linear         0.02%      60.829ms         2.77%        7.866s     178.369us       0.000us         0.00%       80.690s       1.830ms         44100  
                                               aten::mm         0.17%     486.116ms         2.63%        7.473s     169.465us       79.583s        29.05%       80.690s       1.830ms         44100  
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s1681...         0.00%       0.000us         0.00%       0.000us       0.000us       75.376s        27.51%       75.376s      33.650ms          2240  
                                            aten::copy_         0.06%     176.107ms         0.25%     713.029ms      14.531us       27.460s        10.02%       27.466s     559.727us         49070  
                                            aten::clone         0.01%      31.392ms         0.12%     345.004ms      24.828us       0.000us         0.00%       21.804s       1.569ms         13896  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       21.300s         7.78%       21.300s       1.616ms         13184  
                                          aten::reshape         0.03%      74.909ms         0.11%     299.426ms       4.666us       0.000us         0.00%       20.730s     323.044us         64170  
                               fake_svd/dispatch/svd_v5         0.00%       4.995ms        79.50%      226.045s        1.413s       0.000us         0.00%       11.417s      71.359ms           160  
                                            svd_v5/call         0.00%       5.336ms        79.50%      226.040s        1.413s       0.000us         0.00%       11.417s      71.359ms           160  
                                           svd_v5/total         0.00%      12.360ms        79.50%      226.035s        1.413s       0.000us         0.00%       11.417s      71.359ms           160  
                                              aten::mul         0.16%     465.427ms         1.50%        4.265s      48.115us        9.813s         3.58%        9.816s     110.750us         88636  
void pytorch_flash::flash_fwd_splitkv_kernel<pytorch...         0.00%       0.000us         0.00%       0.000us       0.000us        9.036s         3.30%        9.036s       1.518ms          5952  
