-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                           Unrecognized        39.01%     1142.781s        39.01%     1142.781s       2.859ms     3336.619s       117.42%     3336.619s       8.348ms        399676  
                                              eval_loop         0.00%       0.000us         0.00%       0.000us       0.000us     2929.402s       103.09%     2929.402s     2929.402s             1  
                         aten::_flash_attention_forward         0.03%     942.107ms         0.12%        3.371s      53.743us     1256.818s        44.23%     1257.948s      20.057ms         62720  
void pytorch_flash::flash_fwd_kernel<pytorch_flash::...         0.00%       0.000us         0.00%       0.000us       0.000us     1165.985s        41.03%     1165.985s     379.552ms          3072  
                                               aten::mm         0.17%        4.902s         2.59%       75.895s     172.097us      756.664s        26.63%      773.272s       1.753ms        441000  
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s1681...         0.00%       0.000us         0.00%       0.000us       0.000us      714.511s        25.14%      714.511s      33.227ms         21504  
                                            aten::copy_         0.06%        1.642s         0.42%       12.413s      27.036us      271.684s         9.56%      273.536s     595.752us        459144  
                                        aten::linalg_qr         0.11%        3.097s        15.33%      448.978s      32.478ms      230.821s         8.12%     2986.519s     216.039ms         13824  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      212.536s         7.48%      212.536s       1.615ms        131584  
void geqr2_gmem_domino<float, float, 9>(int, int, fl...         0.00%       0.000us         0.00%       0.000us       0.000us      186.760s         6.57%      186.760s       1.871ms         99840  
                                         stage:orth_a_q         0.00%       0.000us         0.00%       0.000us       0.000us      179.856s         6.33%      179.856s      29.273ms          6144  
                                              aten::mul         0.15%        4.300s         1.45%       42.573s      50.533us       94.140s         3.31%       94.194s     111.806us        842480  
void pytorch_flash::flash_fwd_splitkv_kernel<pytorch...         0.00%       0.000us         0.00%       0.000us       0.000us       90.533s         3.19%       90.533s       1.518ms         59648  
                                              aten::cat         0.08%        2.449s         0.13%        3.849s      10.030us       83.425s         2.94%       83.438s     217.436us        383736  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us       51.109s         1.80%       51.109s     451.682us        113152  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       48.931s         1.72%       48.931s      93.494us        523360  
                                        stage:orth_init         0.00%       0.000us         0.00%       0.000us       0.000us       46.462s         1.64%       46.462s      30.248ms          1536  
                                              aten::bmm         0.02%     526.518ms         0.59%       17.196s     843.293us       38.795s         1.37%       42.360s       2.077ms         20392  
                                              aten::add         0.08%        2.438s         0.14%        4.053s       7.888us       36.784s         1.29%       36.791s      71.607us        513784  
