-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                              eval_loop         0.00%       0.000us         0.00%       0.000us       0.000us     2846.209s       103.14%     2846.209s     2846.209s             1  
                         aten::_flash_attention_forward         0.03%     944.272ms         0.12%        3.367s      54.716us     1258.010s        45.59%     1259.130s      20.462ms         61536  
void pytorch_flash::flash_fwd_kernel<pytorch_flash::...         0.00%       0.000us         0.00%       0.000us       0.000us     1168.987s        42.36%     1168.987s     380.530ms          3072  
                                               aten::mm         0.17%        4.918s         2.60%       74.012s     171.056us      756.878s        27.43%      773.292s       1.787ms        432675  
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s1681...         0.00%       0.000us         0.00%       0.000us       0.000us      715.553s        25.93%      715.553s      33.275ms         21504  
                                            aten::copy_         0.06%        1.805s         0.26%        7.492s      14.775us      274.305s         9.94%      274.384s     541.137us        507051  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      208.751s         7.56%      208.751s       1.616ms        129216  
                                              aten::bmm         0.02%     695.584ms         0.03%     995.399ms      29.123us      154.963s         5.62%      155.032s       4.536ms         34179  
                                              aten::mul         0.16%        4.432s         1.57%       44.611s      51.373us       94.207s         3.41%       94.264s     108.551us        868386  
void pytorch_flash::flash_fwd_splitkv_kernel<pytorch...         0.00%       0.000us         0.00%       0.000us       0.000us       88.731s         3.22%       88.731s       1.518ms         58464  
                                              aten::cat         0.09%        2.424s         0.13%        3.841s      10.201us       82.377s         2.99%       82.393s     218.828us        376521  
                                        stage:power_a_q         0.00%       0.000us         0.00%       0.000us       0.000us       63.862s         2.31%       63.862s      10.394ms          6144  
                                  ampere_sgemm_64x64_tn         0.00%       0.000us         0.00%       0.000us       0.000us       63.782s         2.31%       63.782s      10.381ms          6144  
                                       stage:power_at_q         0.00%       0.000us         0.00%       0.000us       0.000us       61.337s         2.22%       61.337s       9.983ms          6144  
void cutlass::Kernel2<cutlass_80_simt_sgemm_128x256_...         0.00%       0.000us         0.00%       0.000us       0.000us       60.141s         2.18%       60.141s       9.789ms          6144  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us       50.052s         1.81%       50.052s     451.795us        110784  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       48.922s         1.77%       48.922s      95.200us        513888  
                                         stage:orth_a_q         0.00%       0.000us         0.00%       0.000us       0.000us       39.831s         1.44%       39.831s       6.483ms          6144  
                                              aten::add         0.09%        2.600s         0.18%        5.113s       9.614us       36.863s         1.34%       36.874s      69.329us        531873  
