-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                           Unrecognized        49.09%     1480.417s        49.09%     1480.420s       3.526ms     3910.334s       133.46%     3910.334s       9.312ms        419912  
                                              eval_loop         0.00%       0.000us         0.00%       0.000us       0.000us     3015.829s       102.93%     3015.829s     3015.829s             1  
                         aten::_flash_attention_forward         0.03%     865.069ms         0.10%        3.164s      54.632us     1249.508s        42.65%     1251.002s      21.599ms         57920  
void pytorch_flash::flash_fwd_kernel<pytorch_flash::...         0.00%       0.000us         0.00%       0.000us       0.000us     1165.993s        39.80%     1165.993s     379.555ms          3072  
                                               aten::mm         0.15%        4.528s         2.31%       69.620s     170.952us      753.686s        25.72%      769.557s       1.890ms        407250  
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s1681...         0.00%       0.000us         0.00%       0.000us       0.000us      714.914s        24.40%      714.914s      33.246ms         21504  
                                            aten::copy_         0.05%        1.572s         0.27%        8.178s      17.909us      262.527s         8.96%      262.903s     575.731us        456642  
                                        aten::linalg_qr         0.10%        2.874s        16.81%      506.823s      36.663ms      247.542s         8.45%     3729.083s     269.754ms         13824  
void geqr2_gmem_domino<float, float, 9>(int, int, fl...         0.00%       0.000us         0.00%       0.000us       0.000us      201.918s         6.89%      201.918s       2.022ms         99840  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      197.086s         6.73%      197.086s       1.616ms        121984  
                                         stage:orth_a_q         0.00%       0.000us         0.00%       0.000us       0.000us      195.375s         6.67%      195.375s      31.799ms          6144  
                                              aten::bmm         0.10%        2.906s         0.17%        5.119s     252.899us      133.444s         4.55%      145.701s       7.198ms         20242  
                                              aten::mul         0.13%        3.913s         1.13%       33.959s      43.583us       94.001s         3.21%       94.045s     120.698us        779180  
void pytorch_flash::flash_fwd_splitkv_kernel<pytorch...         0.00%       0.000us         0.00%       0.000us       0.000us       83.240s         2.84%       83.240s       1.518ms         54848  
                                              aten::cat         0.07%        2.257s         0.12%        3.536s       9.974us       79.036s         2.70%       79.049s     222.995us        354486  
                                        stage:power_a_q         0.00%       0.000us         0.00%       0.000us       0.000us       58.608s         2.00%       58.608s       9.539ms          6144  
                                  ampere_sgemm_64x64_tn         0.00%       0.000us         0.00%       0.000us       0.000us       58.533s         2.00%       58.533s       9.527ms          6144  
                                       stage:power_at_q         0.00%       0.000us         0.00%       0.000us       0.000us       54.896s         1.87%       54.896s       8.935ms          6144  
void cutlass::Kernel2<cutlass_80_simt_sgemm_128x256_...         0.00%       0.000us         0.00%       0.000us       0.000us       53.710s         1.83%       53.710s       8.742ms          6144  
