-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                              eval_loop         0.00%       0.000us         0.00%       0.000us       0.000us     2811.531s       103.49%     2811.531s     2811.531s             1  
                         aten::_flash_attention_forward         0.04%        1.251s         0.15%        4.158s      64.970us     1292.228s        47.57%     1293.386s      20.209ms         64000  
void pytorch_flash::flash_fwd_kernel<pytorch_flash::...         0.00%       0.000us         0.00%       0.000us       0.000us     1199.386s        44.15%     1199.386s     390.425ms          3072  
                                               aten::mm         0.23%        6.376s         2.54%       71.298s     158.440us      781.093s        28.75%      797.279s       1.772ms        450000  
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s1681...         0.00%       0.000us         0.00%       0.000us       0.000us      737.955s        27.16%      737.955s      34.317ms         21504  
                                            aten::copy_         0.08%        2.188s         0.19%        5.447s      11.007us      276.372s        10.17%      276.436s     558.587us        494884  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      217.084s         7.99%      217.084s       1.618ms        134144  
                                              aten::mul         0.21%        6.015s         1.21%       34.102s      37.854us       94.465s         3.48%       94.520s     104.919us        900884  
void pytorch_flash::flash_fwd_splitkv_kernel<pytorch...         0.00%       0.000us         0.00%       0.000us       0.000us       92.532s         3.41%       92.532s       1.519ms         60928  
                                              aten::cat         0.11%        3.194s         0.17%        4.767s      12.176us       85.174s         3.14%       85.185s     217.567us        391536  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us       52.386s         1.93%       52.386s     452.724us        115712  
                                              aten::bmm         0.03%     927.996ms         0.04%        1.249s      36.448us       50.363s         1.85%       50.386s       1.471ms         34256  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       49.142s         1.81%       49.142s      92.096us        533600  
                                         stage:orth_a_q         0.00%       0.000us         0.00%       0.000us       0.000us       37.607s         1.38%       37.607s       6.121ms          6144  
                                              aten::add         0.12%        3.510s         0.23%        6.529s      11.833us       36.926s         1.36%       36.932s      66.928us        551818  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us       32.761s         1.21%       32.761s     121.418us        269824  
ampere_bf16_s16816gemm_bf16_64x64_ldg8_f2f_stages_64...         0.00%       0.000us         0.00%       0.000us       0.000us       31.580s         1.16%       31.580s     172.771us        182784  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       25.501s         0.94%       25.501s     135.815us        187760  
