-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                              eval_loop         0.00%       0.000us         0.00%       0.000us       0.000us     3000.627s       103.36%     3000.627s     3000.627s             1  
                                           Unrecognized        38.38%     1151.768s        38.38%     1151.768s       3.213ms     2966.347s       102.18%     2966.372s       8.276ms        358428  
                         aten::_flash_attention_forward         0.04%        1.218s         0.13%        4.029s      63.562us     1288.175s        44.37%     1289.708s      20.345ms         63392  
void pytorch_flash::flash_fwd_kernel<pytorch_flash::...         0.00%       0.000us         0.00%       0.000us       0.000us     1196.290s        41.21%     1196.290s     389.417ms          3072  
                                               aten::mm         0.21%        6.280s         2.36%       70.885s     159.033us      778.550s        26.82%      794.576s       1.783ms        445725  
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s1681...         0.00%       0.000us         0.00%       0.000us       0.000us      735.851s        25.35%      735.851s      34.219ms         21504  
                                            aten::copy_         0.07%        2.117s         0.35%       10.360s      22.359us      274.344s         9.45%      276.057s     595.767us        463365  
                                        aten::linalg_qr         0.11%        3.271s        15.26%      457.831s      33.119ms      233.923s         8.06%     2847.600s     205.990ms         13824  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      215.084s         7.41%      215.084s       1.618ms        132928  
void geqr2_gmem_domino<float, float, 9>(int, int, fl...         0.00%       0.000us         0.00%       0.000us       0.000us      189.488s         6.53%      189.488s       1.898ms         99840  
                                         stage:orth_a_q         0.00%       0.000us         0.00%       0.000us       0.000us      181.957s         6.27%      181.957s      29.615ms          6144  
                                              aten::mul         0.19%        5.629s         1.41%       42.253s      49.630us       94.335s         3.25%       94.381s     110.861us        851342  
void pytorch_flash::flash_fwd_splitkv_kernel<pytorch...         0.00%       0.000us         0.00%       0.000us       0.000us       91.578s         3.15%       91.578s       1.518ms         60320  
                                              aten::cat         0.11%        3.183s         0.16%        4.704s      12.129us       84.567s         2.91%       84.575s     218.071us        387831  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us       51.830s         1.79%       51.830s     452.677us        114496  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       49.109s         1.69%       49.109s      92.881us        528736  
                                        stage:orth_init         0.00%       0.000us         0.00%       0.000us       0.000us       47.131s         1.62%       47.131s      30.685ms          1536  
                                              aten::bmm         0.02%     654.929ms         0.59%       17.790s     871.521us       39.567s         1.36%       43.187s       2.116ms         20413  
                                              aten::add         0.11%        3.263s         0.17%        5.011s       9.651us       36.826s         1.27%       36.836s      70.944us        519223  
