-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                              eval_loop         0.00%       0.000us         0.00%       0.000us       0.000us     2898.284s       103.48%     2898.284s     2898.284s             1  
                         aten::_flash_attention_forward         0.04%        1.146s         0.13%        3.854s      65.488us     1284.846s        45.88%     1285.982s      21.853ms         58848  
void pytorch_flash::flash_fwd_kernel<pytorch_flash::...         0.00%       0.000us         0.00%       0.000us       0.000us     1199.867s        42.84%     1199.867s     390.582ms          3072  
                                               aten::mm         0.21%        5.954s         2.26%       65.434s     158.140us      776.239s        27.72%      791.433s       1.913ms        413775  
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s1681...         0.00%       0.000us         0.00%       0.000us       0.000us      736.734s        26.30%      736.734s      34.260ms         21504  
                                            aten::copy_         0.07%        2.168s         0.18%        5.319s      10.852us      266.135s         9.50%      266.184s     543.059us        490157  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      200.487s         7.16%      200.487s       1.619ms        123840  
                                              aten::bmm         0.03%     839.452ms         0.04%        1.175s      34.459us      158.940s         5.67%      159.001s       4.663ms         34095  
                                              aten::mul         0.19%        5.495s         0.96%       27.782s      33.355us       94.303s         3.37%       94.356s     113.283us        832928  
void pytorch_flash::flash_fwd_splitkv_kernel<pytorch...         0.00%       0.000us         0.00%       0.000us       0.000us       84.695s         3.02%       84.695s       1.518ms         55776  
                                              aten::cat         0.10%        2.965s         0.15%        4.422s      12.278us       80.437s         2.87%       80.449s     223.381us        360141  
                                        stage:power_a_q         0.00%       0.000us         0.00%       0.000us       0.000us       65.485s         2.34%       65.485s      10.658ms          6144  
                                  ampere_sgemm_64x64_tn         0.00%       0.000us         0.00%       0.000us       0.000us       65.387s         2.33%       65.387s      10.642ms          6144  
                                       stage:power_at_q         0.00%       0.000us         0.00%       0.000us       0.000us       62.952s         2.25%       62.952s      10.246ms          6144  
void cutlass::Kernel2<cutlass_80_simt_sgemm_128x256_...         0.00%       0.000us         0.00%       0.000us       0.000us       61.751s         2.20%       61.751s      10.051ms          6144  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       49.029s         1.75%       49.029s      99.574us        492384  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us       47.726s         1.70%       47.726s     452.778us        105408  
                                         stage:orth_a_q         0.00%       0.000us         0.00%       0.000us       0.000us       40.475s         1.45%       40.475s       6.588ms          6144  
                                              aten::add         0.11%        3.228s         0.22%        6.272s      12.296us       36.870s         1.32%       36.880s      72.297us        510112  
