-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                              eval_loop         0.00%       0.000us         0.00%       0.000us       0.000us     2727.452s       103.72%     2727.452s     2727.452s             1  
                         aten::_flash_attention_forward         0.04%        1.218s         0.15%        4.092s      63.748us     1250.110s        47.54%     1252.016s      19.504ms         64192  
void pytorch_flash::flash_fwd_kernel<pytorch_flash::...         0.00%       0.000us         0.00%       0.000us       0.000us     1157.030s        44.00%     1157.030s     376.637ms          3072  
                                               aten::mm         0.23%        6.311s         2.62%       71.481s     158.372us      757.318s        28.80%      773.277s       1.713ms        451350  
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s1681...         0.00%       0.000us         0.00%       0.000us       0.000us      714.182s        27.16%      714.182s      33.212ms         21504  
                                            aten::copy_         0.08%        2.162s         0.19%        5.312s      10.704us      275.924s        10.49%      275.970s     556.133us        496230  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      217.033s         8.25%      217.033s       1.613ms        134528  
                                              aten::mul         0.22%        5.868s         1.23%       33.557s      37.138us       94.241s         3.58%       94.283s     104.347us        903556  
void pytorch_flash::flash_fwd_splitkv_kernel<pytorch...         0.00%       0.000us         0.00%       0.000us       0.000us       92.779s         3.53%       92.779s       1.518ms         61120  
                                              aten::cat         0.12%        3.172s         0.17%        4.770s      12.147us       84.646s         3.22%       84.654s     215.565us        392706  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us       52.326s         1.99%       52.326s     450.711us        116096  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       48.944s         1.86%       48.944s      91.461us        535136  
                                              aten::add         0.13%        3.409s         0.23%        6.317s      11.415us       36.866s         1.40%       36.873s      66.625us        553442  
                                              aten::bmm         0.03%     930.190ms         0.05%        1.258s      36.710us       36.209s         1.38%       36.232s       1.057ms         34262  
                                         stage:orth_a_q         0.00%       0.000us         0.00%       0.000us       0.000us       33.129s         1.26%       33.129s       5.392ms          6144  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us       32.294s         1.23%       32.294s     119.345us        270592  
ampere_bf16_s16816gemm_bf16_64x64_ldg8_f2f_stages_64...         0.00%       0.000us         0.00%       0.000us       0.000us       31.596s         1.20%       31.596s     172.315us        183360  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       25.486s         0.97%       25.486s     135.320us        188342  
