-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                              eval_loop         0.00%       0.000us         0.00%       0.000us       0.000us     2916.077s       103.42%     2916.077s     2916.077s             1  
                         aten::_flash_attention_forward         0.04%        1.162s         0.14%        3.952s      64.190us     1246.808s        44.22%     1248.350s      20.276ms         61568  
void pytorch_flash::flash_fwd_kernel<pytorch_flash::...         0.00%       0.000us         0.00%       0.000us       0.000us     1157.744s        41.06%     1157.744s     376.870ms          3072  
                                               aten::mm         0.21%        6.110s         2.36%       68.753s     158.820us      757.084s        26.85%      772.618s       1.785ms        432900  
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s1681...         0.00%       0.000us         0.00%       0.000us       0.000us      715.787s        25.39%      715.787s      33.286ms         21504  
                                           Unrecognized         4.34%      126.563s         4.34%      126.563s     625.742us      495.081s        17.56%      495.081s       2.448ms        202261  
                                            aten::copy_         0.07%        1.990s         0.22%        6.444s      14.259us      267.429s         9.48%      267.645s     592.256us        451908  
                                        aten::linalg_qr         0.10%        3.025s         0.67%       19.595s       1.417ms      235.045s         8.34%      336.549s      24.345ms         13824  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      208.626s         7.40%      208.626s       1.614ms        129280  
void geqr2_gmem_domino<float, float, 9>(int, int, fl...         0.00%       0.000us         0.00%       0.000us       0.000us      196.987s         6.99%      196.987s       2.332ms         84480  
                                         stage:orth_a_q         0.00%       0.000us         0.00%       0.000us       0.000us      181.131s         6.42%      181.131s      29.481ms          6144  
                                              aten::mul         0.18%        5.384s         1.33%       38.870s      46.984us       94.099s         3.34%       94.142s     113.796us        827288  
void pytorch_flash::flash_fwd_splitkv_kernel<pytorch...         0.00%       0.000us         0.00%       0.000us       0.000us       88.775s         3.15%       88.775s       1.518ms         58496  
                                              aten::cat         0.10%        3.061s         0.16%        4.606s      12.228us       82.287s         2.92%       82.294s     218.451us        376716  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us       49.976s         1.77%       49.976s     450.849us        110848  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       48.911s         1.73%       48.911s      95.130us        514144  
                                        stage:orth_init         0.00%       0.000us         0.00%       0.000us       0.000us       46.990s         1.67%       46.990s      30.592ms          1536  
                                              aten::add         0.10%        3.060s         0.17%        4.874s       9.662us       36.756s         1.30%       36.766s      72.881us        504460  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us       32.285s         1.14%       32.285s     124.127us        260096  
