-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                              eval_loop         0.00%       0.000us         0.00%       0.000us       0.000us     2849.937s       103.31%     2849.937s     2849.937s             1  
                         aten::_flash_attention_forward         0.04%        1.180s         0.14%        3.936s      62.987us     1271.254s        46.08%     1273.178s      20.372ms         62496  
void pytorch_flash::flash_fwd_kernel<pytorch_flash::...         0.00%       0.000us         0.00%       0.000us       0.000us     1180.751s        42.80%     1180.751s     384.359ms          3072  
                                               aten::mm         0.21%        6.080s         2.46%       70.046s     159.403us      765.777s        27.76%      781.671s       1.779ms        439425  
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s1681...         0.00%       0.000us         0.00%       0.000us       0.000us      723.752s        26.24%      723.752s      33.657ms         21504  
                                            aten::copy_         0.07%        1.979s         0.17%        4.985s      11.039us      267.939s         9.71%      267.984s     593.420us        451593  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      211.992s         7.68%      211.992s       1.617ms        131136  
                                              aten::bmm         0.02%     707.336ms         0.04%        1.012s      29.594us      139.962s         5.07%      140.011s       4.093ms         34209  
                                              aten::mul         0.20%        5.679s         1.09%       30.958s      35.140us       94.475s         3.42%       94.536s     107.306us        880998  
void pytorch_flash::flash_fwd_splitkv_kernel<pytorch...         0.00%       0.000us         0.00%       0.000us       0.000us       90.204s         3.27%       90.204s       1.518ms         59424  
                                              aten::cat         0.11%        3.052s         0.16%        4.519s      11.820us       83.437s         3.02%       83.448s     218.237us        382371  
                                 ampere_sgemm_128x64_tn         0.00%       0.000us         0.00%       0.000us       0.000us       52.264s         1.89%       52.264s       8.507ms          6144  
                                        stage:power_a_q         0.00%       0.000us         0.00%       0.000us       0.000us       52.264s         1.89%       52.264s       8.507ms          6144  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us       50.962s         1.85%       50.962s     452.173us        112704  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       48.766s         1.77%       48.766s      94.053us        518496  
                                       stage:power_at_q         0.00%       0.000us         0.00%       0.000us       0.000us       46.179s         1.67%       46.179s       7.516ms          6144  
void cutlass::Kernel2<cutlass_80_simt_sgemm_128x256_...         0.00%       0.000us         0.00%       0.000us       0.000us       46.163s         1.67%       46.163s       7.513ms          6144  
                                              aten::add         0.12%        3.402s         0.22%        6.136s      11.370us       36.877s         1.34%       36.882s      68.348us        539619  
                                         stage:orth_a_q         0.00%       0.000us         0.00%       0.000us       0.000us       33.052s         1.20%       33.052s       5.380ms          6144  
