-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                              eval_loop         0.00%       0.000us         0.00%       0.000us       0.000us     3057.762s       103.16%     3057.762s     3057.762s             1  
                         aten::_flash_attention_forward         0.04%        1.168s         0.13%        3.932s      63.144us     1270.432s        42.86%     1271.612s      20.420ms         62272  
void pytorch_flash::flash_fwd_kernel<pytorch_flash::...         0.00%       0.000us         0.00%       0.000us       0.000us     1180.235s        39.82%     1180.235s     384.191ms          3072  
                                               aten::mm         0.20%        6.004s         2.29%       69.914s     159.677us      765.034s        25.81%      781.039s       1.784ms        437850  
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s1681...         0.00%       0.000us         0.00%       0.000us       0.000us      723.168s        24.40%      723.168s      33.629ms         21504  
                                           Unrecognized         4.45%      136.001s         4.45%      136.007s     655.442us      571.131s        19.27%      571.154s       2.752ms        207504  
                                            aten::copy_         0.06%        1.858s         0.15%        4.738s      11.214us      267.040s         9.01%      267.108s     632.151us        422538  
                                        aten::linalg_qr         0.09%        2.834s         0.88%       26.991s       1.952ms      252.841s         8.53%      366.991s      26.547ms         13824  
void geqr2_gmem_domino<float, float, 9>(int, int, fl...         0.00%       0.000us         0.00%       0.000us       0.000us      213.245s         7.19%      213.245s       2.524ms         84480  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      211.262s         7.13%      211.262s       1.617ms        130688  
                                         stage:orth_a_q         0.00%       0.000us         0.00%       0.000us       0.000us      192.692s         6.50%      192.692s      31.363ms          6144  
                                              aten::bmm         0.02%     476.623ms         0.02%     679.922ms      33.365us      122.480s         4.13%      133.688s       6.560ms         20378  
                                              aten::mul         0.17%        5.325s         0.97%       29.701s      35.504us       94.384s         3.18%       94.447s     112.898us        836572  
void pytorch_flash::flash_fwd_splitkv_kernel<pytorch...         0.00%       0.000us         0.00%       0.000us       0.000us       89.897s         3.03%       89.897s       1.519ms         59200  
                                              aten::cat         0.10%        3.033s         0.15%        4.482s      11.764us       83.214s         2.81%       83.224s     218.433us        381006  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us       50.760s         1.71%       50.760s     452.183us        112256  
                                        stage:orth_init         0.00%       0.000us         0.00%       0.000us       0.000us       49.120s         1.66%       49.120s      31.979ms          1536  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       48.764s         1.65%       48.764s      94.375us        516704  
                                 ampere_sgemm_128x64_tn         0.00%       0.000us         0.00%       0.000us       0.000us       48.419s         1.63%       48.419s       7.881ms          6144  
