-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                              eval_loop         0.00%       0.000us         0.00%       0.000us       0.000us     2722.741s       103.36%     2722.741s     2722.741s             1  
                         aten::_flash_attention_forward         0.04%     978.072ms         0.11%        2.958s      47.189us     1256.766s        47.71%     1258.300s      20.072ms         62688  
void pytorch_flash::flash_fwd_kernel<pytorch_flash::...         0.00%       0.000us         0.00%       0.000us       0.000us     1165.963s        44.26%     1165.963s     379.545ms          3072  
                                               aten::mm         0.19%        5.171s         2.68%       72.992s     165.600us      757.300s        28.75%      772.877s       1.753ms        440775  
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s1681...         0.00%       0.000us         0.00%       0.000us       0.000us      715.171s        27.15%      715.171s      33.258ms         21504  
                                            aten::copy_         0.06%        1.659s         0.21%        5.699s      11.675us      273.908s        10.40%      273.969s     561.265us        488127  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      212.435s         8.06%      212.435s       1.615ms        131520  
                                              aten::mul         0.18%        4.951s         0.73%       19.947s      22.577us       94.256s         3.58%       94.306s     106.737us        883530  
void pytorch_flash::flash_fwd_splitkv_kernel<pytorch...         0.00%       0.000us         0.00%       0.000us       0.000us       90.506s         3.44%       90.506s       1.518ms         59616  
                                              aten::cat         0.10%        2.694s         0.14%        3.919s      10.217us       83.409s         3.17%       83.417s     217.493us        383541  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us       51.075s         1.94%       51.075s     451.642us        113088  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       48.717s         1.85%       48.717s      93.680us        520032  
                                              aten::add         0.10%        2.821s         0.16%        4.420s       8.168us       36.860s         1.40%       36.870s      68.131us        541173  
                                              aten::bmm         0.03%     921.386ms         0.06%        1.638s      47.878us       36.829s         1.40%       37.247s       1.089ms         34215  
                                         stage:orth_a_q         0.00%       0.000us         0.00%       0.000us       0.000us       33.507s         1.27%       33.507s       5.454ms          6144  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us       32.307s         1.23%       32.307s     122.109us        264576  
ampere_bf16_s16816gemm_bf16_64x64_ldg8_f2f_stages_64...         0.00%       0.000us         0.00%       0.000us       0.000us       30.856s         1.17%       30.856s     172.524us        178848  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       25.484s         0.97%       25.484s     138.665us        183783  
