-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          ProfilerStep*         0.97%        5.230s       100.00%      541.756s       90.293s       0.000us         0.00%   239054.397s    39842.399s             6  
                                       aten::linalg_svd         0.00%     423.646us        93.48%      506.433s        6.330s       0.000us         0.00%   238917.462s     2986.468s            80  
                                      aten::_linalg_svd         0.09%     461.667ms        93.48%      506.432s        6.330s      397.534s        74.18%   238917.462s     2986.468s            80  
                                           Unrecognized        25.13%      136.158s        25.13%      136.158s       2.367ms   237727.365s     44361.66%   237727.365s        4.133s         57524  
                                       cudaLaunchKernel         0.68%        3.661s        22.15%      120.014s      76.280us       0.000us         0.00%   217664.467s     138.346ms       1573330  
                                        cudaMemsetAsync         0.01%      61.871ms         3.67%       19.867s     740.848us       0.000us         0.00%    20119.940s     750.296ms         26816  
                                           Buffer Flush         0.05%     274.193ms         0.06%     331.994ms       1.566ms      791.148s       147.63%     1095.367s        5.167s           212  
                                          ProfilerStep*         0.00%       0.000us         0.00%       0.000us       0.000us      541.744s       101.09%      541.744s      108.349s             5  
void svd_column_rotate_batch_32x16<float, 5, 3>(long...         0.00%       0.000us         0.00%       0.000us       0.000us      188.758s        35.22%      188.758s     298.479us        632400  
void svd_row_rotate_batch_32x16<float>(long, int con...         0.00%       0.000us         0.00%       0.000us       0.000us      125.282s        23.38%      125.282s     396.213us        316200  
                     aten::scaled_dot_product_attention         0.00%      19.467ms         0.04%     221.426ms      72.079us       0.000us         0.00%       65.443s      21.303ms          3072  
              aten::_scaled_dot_product_flash_attention         0.00%      18.449ms         0.04%     201.959ms      65.742us       0.000us         0.00%       65.443s      21.303ms          3072  
                         aten::_flash_attention_forward         0.01%      47.904ms         0.03%     165.402ms      53.842us       65.441s        12.21%       65.443s      21.303ms          3072  
void pytorch_flash::flash_fwd_kernel<pytorch_flash::...         0.00%       0.000us         0.00%       0.000us       0.000us       60.509s        11.29%       60.509s     378.180ms           160  
                                           aten::matmul         0.01%      69.229ms         0.94%        5.069s     232.775us       0.000us         0.00%       41.207s       1.892ms         21776  
                                           aten::linear         0.01%      31.456ms         0.95%        5.150s     238.446us       0.000us         0.00%       40.551s       1.877ms         21600  
                                               aten::mm         0.05%     259.164ms         0.91%        4.948s     229.094us       39.869s         7.44%       40.551s       1.877ms         21600  
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s1681...         0.00%       0.000us         0.00%       0.000us       0.000us       37.466s         6.99%       37.466s      33.451ms          1120  
void geqr2_gmem_domino<float, float, 9>(int, int, fl...         0.00%       0.000us         0.00%       0.000us       0.000us       23.683s         4.42%       23.683s       2.643ms          8960  
