-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                              eval_loop         0.00%       0.000us         0.00%       0.000us       0.000us     3021.443s       103.34%     3021.443s     3021.443s             1  
                         aten::_flash_attention_forward         0.04%        1.174s         0.13%        3.972s      63.787us     1245.889s        42.61%     1247.032s      20.026ms         62272  
void pytorch_flash::flash_fwd_kernel<pytorch_flash::...         0.00%       0.000us         0.00%       0.000us       0.000us     1155.769s        39.53%     1155.769s     376.227ms          3072  
                                           Unrecognized         4.46%      134.765s         4.46%      134.771s     661.404us      865.233s        29.59%      865.256s       4.246ms        203765  
                                               aten::mm         0.21%        6.196s         2.30%       69.615s     158.436us      765.874s        26.19%      781.531s       1.779ms        439386  
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s1681...         0.00%       0.000us         0.00%       0.000us       0.000us      713.612s        24.41%      713.612s      33.185ms         21504  
                                      lowrank_svd/total         0.00%       0.000us         0.00%       0.000us       0.000us      391.971s        13.41%      391.971s     255.189ms          1536  
                                            aten::copy_         0.06%        1.888s         0.16%        4.778s      11.309us      266.617s         9.12%      266.675s     631.127us        422538  
                                        aten::linalg_qr         0.09%        2.838s         0.94%       28.326s       2.049ms      250.375s         8.56%      677.176s      48.986ms         13824  
void geqr2_gmem_domino<float, float, 9>(int, int, fl...         0.00%       0.000us         0.00%       0.000us       0.000us      210.939s         7.21%      210.939s       2.497ms         84480  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      210.856s         7.21%      210.856s       1.613ms        130688  
                                              aten::bmm         0.01%     406.518ms         0.02%     621.620ms      32.991us      109.819s         3.76%      121.116s       6.428ms         18842  
                                              aten::mul         0.18%        5.510s         1.35%       40.892s      48.880us       94.296s         3.23%       94.347s     112.778us        836572  
void pytorch_flash::flash_fwd_splitkv_kernel<pytorch...         0.00%       0.000us         0.00%       0.000us       0.000us       89.827s         3.07%       89.827s       1.517ms         59200  
                                              aten::cat         0.10%        3.145s         0.16%        4.684s      12.294us       82.886s         2.83%       82.898s     217.576us        381006  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us       50.603s         1.73%       50.603s     450.786us        112256  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       48.689s         1.67%       48.689s      94.231us        516704  
                                 ampere_sgemm_128x64_tn         0.00%       0.000us         0.00%       0.000us       0.000us       47.451s         1.62%       47.451s       7.723ms          6144  
void cutlass::Kernel2<cutlass_80_simt_sgemm_128x256_...         0.00%       0.000us         0.00%       0.000us       0.000us       40.493s         1.38%       40.493s       6.591ms          6144  
